held_out_subject,n_train,n_test,n_selected_features,corr,top_k,cold_total_time_seconds,cold_train_time_seconds,warm_total_time_seconds,warm_cache_load_time_seconds,feature_selection_time_seconds,cache_write_time_seconds,cache_size_mb,time_saved_seconds,speedup_cold_vs_warm,mb_per_second_saved,accuracy_cold,accuracy_warm,predictions_match,subject_count,tree_count
Subject_1,1910,914,30,,30.0,0.09394168853759766,0.04115128517150879,0.040795087814331055,0.0058634281158447266,0.005025386810302734,0.017278194427490234,0.40069007873535156,0.0531466007232666,2.3027696119971712,7.539335974124434,0.7527352297592997,0.7527352297592997,True,3,25
Subject_2,1911,913,30,,30.0,0.08020496368408203,0.02929210662841797,0.042491912841796875,0.004557609558105469,0.005308866500854492,0.014897823333740234,0.33145999908447266,0.037713050842285156,1.8875347876829158,8.788999873561766,0.6615553121577218,0.6615553121577218,True,3,25
Subject_3,1827,997,30,,30.0,0.08400487899780273,0.02992558479309082,0.04278206825256348,0.00537419319152832,0.0061130523681640625,0.015822649002075195,0.36601734161376953,0.04122281074523926,1.963553479973919,8.879000121456787,0.6800401203610833,0.6800401203610833,True,3,25
Subject_1,1910,914,30,,30.0,0.12569046020507812,0.056809186935424805,0.048685312271118164,0.010509729385375977,0.005736112594604492,0.031688690185546875,0.8025608062744141,0.07700514793395996,2.581691568601525,10.42217082632832,0.7811816192560175,0.7811816192560175,True,3,50
Subject_2,1911,913,30,,30.0,0.12195515632629395,0.057442665100097656,0.04645514488220215,0.009391069412231445,0.005514383316040039,0.027826547622680664,0.6605319976806641,0.0755000114440918,2.625223893619096,8.748766855085735,0.6670317634173056,0.6670317634173056,True,3,50
Subject_3,1827,997,30,,30.0,0.12189602851867676,0.05500960350036621,0.04644656181335449,0.011535882949829102,0.0044803619384765625,0.0300447940826416,0.7279014587402344,0.07544946670532227,2.6244359918074442,9.647536165936712,0.6840521564694082,0.6840521564694082,True,3,50
Subject_1,1910,914,30,,30.0,0.1908252239227295,0.0896458625793457,0.07118487358093262,0.023723125457763672,0.005627632141113281,0.0641164779663086,1.6108713150024414,0.11964035034179688,2.680699063204397,13.46428115932787,0.7778993435448578,0.7778993435448578,True,3,100
Subject_2,1911,913,30,,30.0,0.20787811279296875,0.09296989440917969,0.06957244873046875,0.0187835693359375,0.005518436431884766,0.05539989471435547,1.3150520324707031,0.1383056640625,2.987937273823884,9.508302074139452,0.6801752464403067,0.6801752464403067,True,3,100
Subject_3,1827,997,30,,30.0,0.185105562210083,0.09018445014953613,0.06113147735595703,0.020946502685546875,0.00500798225402832,0.05891609191894531,1.4413728713989258,0.12397408485412598,3.027990982979985,11.626404607825226,0.6780341023069207,0.6780341023069207,True,3,100
Subject_1,1910,914,30,,30.0,0.3526914119720459,0.1672985553741455,0.10640692710876465,0.04839611053466797,0.005150556564331055,0.1289198398590088,3.2368526458740234,0.24628448486328125,3.3145531175008904,13.142738762739691,0.7800875273522976,0.7800875273522976,True,3,200
Subject_2,1911,913,30,,30.0,0.3208963871002197,0.1566016674041748,0.11399340629577637,0.04070258140563965,0.005738258361816406,0.10564041137695312,2.630359649658203,0.20690298080444336,2.815043409331908,12.713009930699435,0.6812705366922235,0.6812705366922235,True,3,200
Subject_3,1827,997,30,,30.0,0.3341367244720459,0.1625654697418213,0.10112261772155762,0.043074607849121094,0.005513429641723633,0.11285877227783203,2.8835134506225586,0.23301410675048828,3.3042728916699478,12.374844986145957,0.6820461384152458,0.6820461384152458,True,3,200
Subject_1,1910,914,30,,30.0,0.7294044494628906,0.31980085372924805,0.2043321132659912,0.10058808326721191,0.006014108657836914,0.29795074462890625,6.471336364746094,0.5250723361968994,3.569700512583559,12.324656849412413,0.7778993435448578,0.7778993435448578,True,3,400
Subject_2,1911,913,30,,30.0,0.6646490097045898,0.3325328826904297,0.183624267578125,0.08312416076660156,0.005511045455932617,0.21111607551574707,5.26224422454834,0.48102474212646484,3.6196142180488615,10.939653958932654,0.6801752464403067,0.6801752464403067,True,3,400
Subject_3,1827,997,30,,30.0,0.6445472240447998,0.3136758804321289,0.19210100173950195,0.0885622501373291,0.00575566291809082,0.22965002059936523,5.7734375,0.45244622230529785,3.3552517592741986,12.76049443088122,0.6850551654964895,0.6850551654964895,True,3,400
Subject_1,1910,914,50,,50.0,0.09359526634216309,0.041812896728515625,0.044655561447143555,0.005000114440917969,0.006097078323364258,0.015017032623291016,0.3477048873901367,0.04893970489501953,2.0959375116791867,7.104760605647251,0.7789934354485777,0.7789934354485777,True,3,25
Subject_2,1911,913,50,,50.0,0.08951544761657715,0.04123854637145996,0.03986978530883789,0.0031206607818603516,0.004499912261962891,0.013265132904052734,0.28490543365478516,0.04964566230773926,2.245195125159963,5.73877798001239,0.6801752464403067,0.6801752464403067,True,3,25
Subject_3,1827,997,50,,50.0,0.0827171802520752,0.0323028564453125,0.0408329963684082,0.004523038864135742,0.005731344223022461,0.014258623123168945,0.30772972106933594,0.04188418388366699,2.0257435801618535,7.347158104454248,0.6890672016048145,0.6890672016048145,True,3,25
Subject_1,1910,914,50,,50.0,0.12312555313110352,0.05669569969177246,0.049098968505859375,0.00995779037475586,0.00651097297668457,0.029088735580444336,0.6904764175415039,0.07402658462524414,2.507701421800948,9.327411510837708,0.7888402625820569,0.7888402625820569,True,3,50
Subject_2,1911,913,50,,50.0,0.11762237548828125,0.0551304817199707,0.046059608459472656,0.008580446243286133,0.005258321762084961,0.024743080139160156,0.5658903121948242,0.0715627670288086,2.5536989875147524,7.907608043817215,0.6900328587075575,0.6900328587075575,True,3,50
Subject_3,1827,997,50,,50.0,0.11681675910949707,0.053916215896606445,0.04748988151550293,0.009525537490844727,0.005389690399169922,0.026189565658569336,0.6168241500854492,0.06932687759399414,2.4598241853132987,8.897330609605953,0.6920762286860582,0.6920762286860582,True,3,50
Subject_1,1910,914,50,,50.0,0.20198535919189453,0.09881067276000977,0.05765795707702637,0.018887758255004883,0.006083011627197266,0.055617332458496094,1.3789072036743164,0.14432740211486816,3.503165381355056,9.554022198617997,0.7855579868708972,0.7855579868708972,True,3,100
Subject_2,1911,913,50,,50.0,0.19156885147094727,0.09751224517822266,0.05153775215148926,0.01769709587097168,0.002003908157348633,0.047664642333984375,1.130910873413086,0.140031099319458,3.7170587282862626,8.076140792361404,0.7042716319824753,0.7042716319824753,True,3,100
Subject_3,1827,997,50,,50.0,0.18984079360961914,0.09048604965209961,0.05601620674133301,0.018596410751342773,0.005523681640625,0.0504460334777832,1.2255373001098633,0.13382458686828613,3.3890333646876556,9.157788779995046,0.6920762286860582,0.6920762286860582,True,3,100
Subject_1,1910,914,50,,50.0,0.3529198169708252,0.17348909378051758,0.10252571105957031,0.0425105094909668,0.0061452388763427734,0.12081432342529297,2.768141746520996,0.2503941059112549,3.4422567112533256,11.055139402930218,0.7888402625820569,0.7888402625820569,True,3,200
Subject_2,1911,913,50,,50.0,0.31842732429504395,0.1661357879638672,0.0959768295288086,0.035898447036743164,0.0056610107421875,0.09333181381225586,2.2592391967773438,0.22245049476623535,3.317752064309065,10.156143726052356,0.7064622124863089,0.7064622124863089,True,3,200
Subject_3,1827,997,50,,50.0,0.33430981636047363,0.1752305030822754,0.09703230857849121,0.03889918327331543,0.0057599544525146484,0.10126996040344238,2.435924530029297,0.23727750778198242,3.4453453829766847,10.266141754436735,0.6890672016048145,0.6890672016048145,True,3,200
